"nigel_abc14c1_agt","pressure","1","0","1","0","\b((do not|dont) say)\b","SAP GUI - International transaction","do not say","please, do not say anything about that thing", "0"
"nigel_abc14c1_agt","pressure","1","0","1","0","\b(dificultad(es)? (economicas?|financieras?))\b","Skype Business - Conversacion con Luis Salazar","dificultades economicas","he tenido muchas dificultades economicas este mes y estoy muy triste por eso", "0"
"nigel_abc14c1_agt","pressure","1","0","1","0","\b((dont|do not) forward)\b","Microsoft PowerPoint - Project status presentation.pptx","dont forward","dont forward this email, its only for you", "0"
"nigel_abc14c1_agt","pressure","1","0","1","0","\b(dejese (querer|regalar|consentir))\b","Microsoft Project - Proyecto construccion casa.mpp","dejese querer","no se niegue dejese querer que le quiero dar un detalle en agradecimiento por el favor que me hizo", "0"
"nigel_abc14c1_agt","pressure","1","0","1","0","\b(the goals? (is|are) very high)\b","Microsoft Excel - Financial statements.xlsx","the goal is very high","this month the goals are very high, please do some changes here", "0"
"nigel_abc14c1_agt","pressure","1","0","1","0","\b(cuanto (vale|valia) (su|mi) silencio)\b","Skype Business - Conversacion con Noel Medina","cuanto vale su silencio","digame cuanto vale su silencio y hacemos el procedimiento que le vengo diciendo", "0"
"nigel_abc14c1_agt","pressure","1","0","1","0","\b((do not|dont) share)\b","WhatsApp Web - Chat with Luisa Swartz","do not share","dont share that information with nobody from your team", "0"
"nigel_abc14c1_agt","pressure","1","0","1","0","\b((evita(r|ndo)|evadi(r|endo)|enganar) (las?|el|al) auditor(ias?|as?)?)\b","Gmail Inbox - Bandeja de correo no deseado","evadir la auditoria","vamos a ver si es posible evadir la auditoria del martes", "0"
"nigel_abc14c1_agt","pressure","1","0","1","0","\b(bosses are pushing to do (this|that|those|their))\b","Google Search - How to wipe data easy","bosses are pushing to do this","bosses are pushing to do this, please help us, how much it cost", "0"
"nigel_abc14c1_agt","pressure","1","0","1","0","\b((nos|me|l[oa]s?) tienen (chuzad[oa]s?|vigilad[oa]s?))\b","Google Search - Como hackear un correo electronico","me tienen chuzado","como averiguo si me tienen chuzado porque tengo muchas sospechas de eso", "0"
"nigel_abc14c1_agt","pressure","1","0","1","0","\b(last chance)\b","Skype Business - Conversation with Maria Obama","last chance","this is my last chance, i have to do that right now", "0"
"nigel_abc14c1_agt","pressure","1","0","1","0","\b((el|l[oa]s?) auditor(ia|[ea]s?)?( me| nos| le)? estan?( respirando)? (encima|en el cuello))\b","Skype Business - Conversacion con Noel Medina","el auditor esta encima","cuidado que el auditor esta encima de mi", "0"
"nigel_abc14c1_agt","pressure","1","0","1","0","\b(one time opportunity)\b","Google Search - How to sell my secret files","one time opportunity","i have one time opportunity to leak some secrets files now", "0"
"nigel_abc14c1_agt","pressure","1","0","1","0","\b((cumple|cumpli[ro]|cumplieron) dentro (del|los) plazos?)\b","Microsoft Word - Listado de proveedores ultimo semestre.docx","cumplir dentro del plazo","tengo que hacerlo porque hay que cumplir dentro del plazo", "0"
